Customer ID,First Name,Last Name,Email,Phone,Address,City,State,Postal Code,Country
1,David,Brown,david.brown@example.com,9876543210,414 Oak St,Houston,NY,66818,USA
2,Jane,Garcia,jane.garcia@email.com,5647382910,747 Main St,Chicago,TX,48599,USA
3,Susan,Smith,susan.smith@mail.com,1234567890,893 Pine St,New York,NY,45599,USA
4,Robert,Doe,robert.doe@test.com,5647382910,570 Pine St,New York,TX,50711,USA
5,John,Doe,john.doe@test.com,0987654321,161 Pine St,Houston,AZ,57200,USA
6,Linda,Garcia,linda.garcia@example.com,5647382910,483 Oak St,New York,NY,97455,USA
7,John,Williams,john.williams@mail.com,0987654321,159 Main St,Los Angeles,IL,84700,USA
8,Robert,Martinez,robert.martinez@email.com,1234567890,698 Maple St,Chicago,CA,65186,USA
9,David,Davis,david.davis@test.com,5647382910,630 Pine St,Houston,AZ,68884,USA
10,Robert,Jones,robert.jones@email.com,1029384756,369 Pine St,New York,TX,29772,USA
11,Jane,Johnson,jane.johnson@test.com,5647382910,586 Oak St,Chicago,CA,50989,USA
12,Emily,Martinez,emily.martinez@example.com,9876543210,843 Pine St,Los Angeles,AZ,95456,USA
13,Emily,Brown,emily.brown@test.com,5647382910,126 Maple St,Chicago,CA,14340,USA
14,Michael,Martinez,michael.martinez@example.com,1234567890,319 Main St,Chicago,CA,89776,USA
15,Linda,Davis,linda.davis@mail.com,1029384756,458 Pine St,New York,IL,74748,USA
16,Sarah,Smith,sarah.smith@example.com,1029384756,504 Maple St,Chicago,NY,98773,USA
17,David,Johnson,david.johnson@test.com,0987654321,230 Main St,Houston,TX,64910,USA
18,Robert,Brown,robert.brown@test.com,5647382910,951 Maple St,New York,TX,16306,USA
19,Linda,Jones,linda.jones@email.com,9876543210,124 Pine St,Houston,CA,63919,USA
20,Emily,Smith,emily.smith@email.com,5647382910,927 Oak St,New York,TX,48896,USA
21,Sarah,Smith,sarah.smith@mail.com,0987654321,678 Oak St,Phoenix,AZ,63701,USA
22,Emily,Smith,emily.smith@email.com,5647382910,909 Oak St,Los Angeles,IL,80918,USA
23,Susan,Martinez,susan.martinez@mail.com,0987654321,434 Maple St,Houston,IL,85748,USA
24,David,Davis,david.davis@email.com,5647382910,684 Main St,Los Angeles,IL,80477,USA
25,Linda,Martinez,linda.martinez@example.com,1234567890,968 Pine St,New York,CA,25452,USA
26,Linda,Johnson,linda.johnson@test.com,1029384756,647 Maple St,Houston,TX,14176,USA
27,James,Martinez,james.martinez@test.com,5647382910,434 Pine St,Phoenix,IL,68355,USA
